"","MR1","MR2"
"Q8_1",0.00537529124453972,0.804783232968003
"Q8_2",0.194158936724382,0.606844729088797
"Q8_3",0.0518025986340912,0.52746632911873
"Q8_4",0.515491203809485,-0.0287232706203176
"Q8_5",0.391745232464591,0.201062098626081
"Q8_6",0.49468751613437,0.114936061738267
"Q8_7",0.464096210230374,0.153619928429799
"Q8_8",0.628288778002543,-0.00816188297211068
"Q8_9",0.588387456037499,0.200427932476316
"Q8_10",0.612909561445747,0.158948017254113
"Q8_11",0.632484239774934,0.240945763302278
"Q8_12",0.448540571355653,0.227307672294902
"Q8_13",0.235446814053894,0.45699045776794
"Q8_14",0.28404777680559,0.363905952220937
"Q8_15",0.517855200432753,0.185877764078977
